epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,254.032,1.13761,0.50949,0.79052,1,0.91027,0.97971,0.7063,1.09237,0.50389,0.81747,0.0011783,0.0011783,0.0011783
85,256.527,1.05879,0.48986,0.78013,1,0.91027,0.97971,0.7063,1.09237,0.50389,0.81747,0.0011684,0.0011684,0.0011684
86,258.81,1.16099,0.50523,0.7994,0.98148,0.94633,0.98262,0.69854,1.11923,0.50792,0.8147,0.0011585,0.0011585,0.0011585
87,260.801,1.02171,0.48813,0.79363,0.98148,0.94633,0.98262,0.69854,1.11923,0.50792,0.8147,0.0011486,0.0011486,0.0011486
88,264.857,0.92832,0.43992,0.79167,0.98058,0.92857,0.98559,0.70592,1.11146,0.50534,0.81569,0.0011387,0.0011387,0.0011387
89,266.868,1.07622,0.45461,0.78773,0.98058,0.92857,0.98559,0.70592,1.11146,0.50534,0.81569,0.0011288,0.0011288,0.0011288
90,269.417,1.09566,0.48277,0.79699,1,0.92362,0.98501,0.7396,1.01929,0.48211,0.81194,0.0011189,0.0011189,0.0011189
91,275.151,0.99769,0.44479,0.7924,1,0.92362,0.98501,0.7396,1.01929,0.48211,0.81194,0.001109,0.001109,0.001109
92,281.515,0.99447,0.46058,0.78746,0.99519,0.92857,0.98955,0.73952,1.00107,0.50241,0.81094,0.0010991,0.0010991,0.0010991
93,284.492,0.96181,0.43824,0.78945,0.99519,0.92857,0.98955,0.73952,1.00107,0.50241,0.81094,0.0010892,0.0010892,0.0010892
94,289.498,0.94269,0.43629,0.77567,1,0.90448,0.98784,0.73562,1.02243,0.50433,0.8109,0.0010793,0.0010793,0.0010793
95,291.503,0.89665,0.42703,0.78665,1,0.90448,0.98784,0.73562,1.02243,0.50433,0.8109,0.0010694,0.0010694,0.0010694
96,293.947,1.04234,0.47863,0.78571,0.99631,0.91071,0.98664,0.70634,1.11698,0.51461,0.81589,0.0010595,0.0010595,0.0010595
97,296.179,1.07526,0.46615,0.78942,0.99631,0.91071,0.98664,0.70634,1.11698,0.51461,0.81589,0.0010496,0.0010496,0.0010496
98,298.284,0.9149,0.43332,0.77102,0.99563,0.92857,0.98407,0.75377,1.00482,0.45741,0.8141,0.0010397,0.0010397,0.0010397
99,300.721,1.00718,0.44257,0.7863,0.99563,0.92857,0.98407,0.75377,1.00482,0.45741,0.8141,0.0010298,0.0010298,0.0010298
100,303.367,1.13376,0.48293,0.78032,0.99265,0.92857,0.98708,0.75048,1.0198,0.44233,0.81458,0.0010199,0.0010199,0.0010199
101,305.613,0.9752,0.45288,0.78631,0.99265,0.92857,0.98708,0.75048,1.0198,0.44233,0.81458,0.00101,0.00101,0.00101
102,308.101,0.99136,0.44498,0.78461,0.97851,0.92857,0.98873,0.76998,1.02879,0.45273,0.8134,0.0010001,0.0010001,0.0010001
103,310.958,1.07923,0.43732,0.79636,0.97851,0.92857,0.98873,0.76998,1.02879,0.45273,0.8134,0.0009902,0.0009902,0.0009902
104,316.102,1.01056,0.43507,0.78563,0.94791,0.97486,0.99044,0.74677,1.0649,0.46444,0.81743,0.0009803,0.0009803,0.0009803
105,318.271,0.86667,0.42432,0.79886,0.94791,0.97486,0.99044,0.74677,1.0649,0.46444,0.81743,0.0009704,0.0009704,0.0009704
106,320.747,1.00773,0.4691,0.78111,0.93253,0.98737,0.9906,0.74551,1.08034,0.47274,0.82031,0.0009605,0.0009605,0.0009605
107,322.791,0.8876,0.41969,0.78621,0.93253,0.98737,0.9906,0.74551,1.08034,0.47274,0.82031,0.0009506,0.0009506,0.0009506
108,325.716,0.97435,0.43494,0.79697,0.97908,0.94643,0.98874,0.72169,1.11542,0.47513,0.8214,0.0009407,0.0009407,0.0009407
109,327.738,0.95823,0.4167,0.79441,0.97908,0.94643,0.98874,0.72169,1.11542,0.47513,0.8214,0.0009308,0.0009308,0.0009308
110,329.896,0.93112,0.41793,0.78885,0.98126,0.94643,0.98458,0.71748,1.14131,0.4724,0.81915,0.0009209,0.0009209,0.0009209
111,332.158,0.96964,0.43753,0.79061,0.98126,0.94643,0.98458,0.71748,1.14131,0.4724,0.81915,0.000911,0.000911,0.000911
112,334.563,0.83384,0.40558,0.78095,0.97771,0.94643,0.98681,0.74473,1.06889,0.46033,0.81577,0.0009011,0.0009011,0.0009011
113,336.802,0.85285,0.41152,0.79084,0.97771,0.94643,0.98681,0.74473,1.06889,0.46033,0.81577,0.0008912,0.0008912,0.0008912
114,338.873,0.91062,0.40227,0.78581,0.99842,0.94643,0.99014,0.76773,1.00197,0.43326,0.81369,0.0008813,0.0008813,0.0008813
115,341.724,0.79829,0.39214,0.77687,0.99842,0.94643,0.99014,0.76773,1.00197,0.43326,0.81369,0.0008714,0.0008714,0.0008714
116,343.918,0.88827,0.40252,0.79404,0.98114,0.94643,0.98975,0.76124,0.99814,0.42398,0.81874,0.0008615,0.0008615,0.0008615
117,346.416,1.01901,0.43864,0.79263,0.98114,0.94643,0.98975,0.76124,0.99814,0.42398,0.81874,0.0008516,0.0008516,0.0008516
118,348.502,0.99116,0.43163,0.77813,0.98,0.94643,0.98946,0.77288,1.00373,0.4524,0.81819,0.0008417,0.0008417,0.0008417
119,353.176,0.98846,0.43855,0.78978,0.98,0.94643,0.98946,0.77288,1.00373,0.4524,0.81819,0.0008318,0.0008318,0.0008318
120,355.635,0.93466,0.4511,0.78572,0.98033,0.94643,0.98777,0.76557,0.99097,0.45039,0.81561,0.0008219,0.0008219,0.0008219
121,358.017,0.98772,0.44377,0.80197,0.98033,0.94643,0.98777,0.76557,0.99097,0.45039,0.81561,0.000812,0.000812,0.000812
122,360.361,0.99105,0.44574,0.78407,0.98007,0.94643,0.98625,0.74968,1.01956,0.44288,0.81771,0.0008021,0.0008021,0.0008021
123,362.557,0.94163,0.41675,0.76841,0.98007,0.94643,0.98625,0.74968,1.01956,0.44288,0.81771,0.0007922,0.0007922,0.0007922
124,364.57,1.00819,0.42478,0.79013,0.9802,0.94643,0.98616,0.76047,0.99656,0.42687,0.81805,0.0007823,0.0007823,0.0007823
125,371.519,0.91178,0.42858,0.77995,0.9802,0.94643,0.98616,0.76047,0.99656,0.42687,0.81805,0.0007724,0.0007724,0.0007724
126,373.665,0.90085,0.41042,0.78169,0.9818,0.96333,0.98969,0.75461,1.04606,0.42367,0.81803,0.0007625,0.0007625,0.0007625
127,375.626,0.9562,0.41311,0.78393,0.9818,0.96333,0.98969,0.75461,1.04606,0.42367,0.81803,0.0007526,0.0007526,0.0007526
128,381.776,0.86727,0.40982,0.78872,0.99788,0.94643,0.99343,0.76559,0.99472,0.42092,0.81508,0.0007427,0.0007427,0.0007427
129,384.151,0.98913,0.41632,0.78059,0.99788,0.94643,0.99343,0.76559,0.99472,0.42092,0.81508,0.0007328,0.0007328,0.0007328
130,386.155,0.94179,0.40694,0.77693,0.99798,0.94643,0.99211,0.7911,0.90666,0.40655,0.81082,0.0007229,0.0007229,0.0007229
131,388.597,1.05205,0.44419,0.79261,0.99798,0.94643,0.99211,0.7911,0.90666,0.40655,0.81082,0.000713,0.000713,0.000713
132,391.746,0.90152,0.40435,0.79445,0.99725,0.94643,0.99278,0.77342,0.91156,0.40188,0.81085,0.0007031,0.0007031,0.0007031
133,393.794,0.90909,0.40534,0.7864,0.99725,0.94643,0.99278,0.77342,0.91156,0.40188,0.81085,0.0006932,0.0006932,0.0006932
134,396.568,0.9015,0.40312,0.78939,0.9991,0.94643,0.98908,0.77268,0.91661,0.41465,0.81062,0.0006833,0.0006833,0.0006833
135,398.65,0.90301,0.42288,0.77234,0.9991,0.94643,0.98908,0.77268,0.91661,0.41465,0.81062,0.0006734,0.0006734,0.0006734
136,401.097,0.91146,0.40919,0.78276,0.99923,0.94643,0.99116,0.75275,0.95612,0.41082,0.81273,0.0006635,0.0006635,0.0006635
137,403.055,0.84345,0.39746,0.768,0.99923,0.94643,0.99116,0.75275,0.95612,0.41082,0.81273,0.0006536,0.0006536,0.0006536
138,405.276,0.898,0.40618,0.79535,1,0.96282,0.99447,0.75789,0.96609,0.42463,0.81505,0.0006437,0.0006437,0.0006437
139,407.432,0.96263,0.42551,0.77431,1,0.96282,0.99447,0.75789,0.96609,0.42463,0.81505,0.0006338,0.0006338,0.0006338
140,409.842,0.89315,0.40656,0.79084,1,0.96321,0.99268,0.77799,0.91016,0.41648,0.81422,0.0006239,0.0006239,0.0006239
141,412.14,0.83699,0.38719,0.75855,1,0.96321,0.99268,0.77799,0.91016,0.41648,0.81422,0.000614,0.000614,0.000614
